# time [s];Channel 0;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5
2.957000;0.463783;0.455406;0.008377;-0.393672;-30.000000;-0.036911
2.959000;0.462486;0.454994;0.007492;-0.393707;-30.000000;-0.026429
2.960000;0.457771;0.454887;0.002884;-0.393737;-30.000000;-0.022232
2.961000;0.453788;0.454826;-0.001038;-0.393768;-30.000000;-0.023319
2.962000;0.452323;0.454902;-0.002579;-0.393803;-30.000000;-0.026446
2.964000;0.453468;0.455253;-0.001785;-0.393841;-30.000000;-0.028474
2.965000;0.456977;0.455634;0.001343;-0.393876;-30.000000;-0.026304
2.966000;0.458946;0.455970;0.002976;-0.393905;-30.000000;-0.021986
2.968000;0.457099;0.455940;0.001160;-0.393932;-30.000000;-0.020146
2.969000;0.454002;0.455283;-0.001282;-0.393961;-30.000000;-0.021587
2.970000;0.451499;0.454627;-0.003128;-0.393995;-30.000000;-0.025470
2.971000;0.450736;0.454047;-0.003311;-0.394034;-30.000000;-0.029545
2.973000;0.450904;0.453590;-0.002686;-0.394078;-30.000000;-0.032732
2.974000;0.453071;0.453773;-0.000702;-0.394122;-30.000000;-0.033231
2.975000;0.455665;0.453925;0.001740;-0.394163;-30.000000;-0.030469
2.977000;0.458732;0.453758;0.004974;-0.394194;-30.000000;-0.023430
2.978000;0.461387;0.453956;0.007431;-0.394212;-30.000000;-0.013209
2.979000;0.463218;0.454246;0.008972;-0.394213;-30.000000;-0.001070
2.980000;0.464469;0.454475;0.009995;-0.394197;-30.000000;0.012270
2.982000;0.465278;0.454414;0.010864;-0.394162;-30.000000;0.026593
2.983000;0.465385;0.453513;0.011872;-0.394105;-30.000000;0.042067
2.984000;0.464240;0.452598;0.011643;-0.394029;-30.000000;0.057029
2.986000;0.460105;0.452125;0.007980;-0.393940;-30.000000;0.066910
2.987000;0.452491;0.451789;0.000702;-0.393851;-30.000000;0.066953
2.988000;0.443793;0.451713;-0.007919;-0.393777;-30.000000;0.055501
2.989000;0.436072;0.452277;-0.016205;-0.393733;-30.000000;0.033155
2.991000;0.429175;0.453025;-0.023850;-0.393731;-30.000000;0.000913
2.992000;0.426139;0.453422;-0.027283;-0.393779;-30.000000;-0.035477
2.993000;0.431052;0.453666;-0.022614;-0.393866;-30.000000;-0.065156
2.995000;0.441077;0.453773;-0.012695;-0.393974;-30.000000;-0.081214
2.996000;0.451270;0.454047;-0.002777;-0.394086;-30.000000;-0.083834
2.997000;0.461387;0.454429;0.006958;-0.394184;-30.000000;-0.073439
2.998000;0.470436;0.454917;0.015518;-0.394253;-30.000000;-0.051769
3.000000;0.477882;0.455360;0.022522;-0.394281;-30.000000;-0.021049
3.001000;0.480415;0.455222;0.025193;-0.394264;-30.000000;0.012822
3.002000;0.475700;0.454704;0.020996;-0.394209;-30.000000;0.040646
3.003000;0.463661;0.454292;0.009369;-0.394139;-30.000000;0.052597
3.005000;0.452567;0.453941;-0.001373;-0.394073;-30.000000;0.050064
3.006000;0.448646;0.454063;-0.005417;-0.394016;-30.000000;0.042174
3.007000;0.451987;0.454704;-0.002716;-0.393966;-30.000000;0.037990
3.009000;0.454871;0.454673;0.000198;-0.393915;-30.000000;0.037748
3.010000;0.454917;0.454612;0.000305;-0.393865;-30.000000;0.037652
3.011000;0.454063;0.454520;-0.000458;-0.393816;-30.000000;0.036539
3.012000;0.452781;0.454475;-0.001694;-0.393771;-30.000000;0.033794
3.014000;0.452461;0.454658;-0.002197;-0.393731;-30.000000;0.030414
3.015000;0.454261;0.454948;-0.000687;-0.393692;-30.000000;0.029093
3.016000;0.456382;0.455055;0.001328;-0.393651;-30.000000;0.030475
